1,That's On Me,Mac Miller,4137314,https://open.spotify.com/track/0udOCZp7yk0Ml92C0k8H8D
2,HIGHEST IN THE ROOM,Travis Scott,4123600,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
3,No Regrets (feat. Don Toliver),Eminem,4065478,https://open.spotify.com/track/1lO9CZo6eDrOy0S7khgryG
4,Tusa,KAROL G,4053669,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
5,OUT WEST (feat. Young Thug),JACKBOYS,3992080,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
6,Watermelon Sugar,Harry Styles,3949802,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
7,Once A Day,Mac Miller,3943113,https://open.spotify.com/track/26G5nmIx7Yvq79bIIluyZV
8,Memories,Maroon 5,3898273,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
9,Lock It Up (feat. Anderson .Paak),Eminem,3896425,https://open.spotify.com/track/1qwMkkRiD5jqLeUUjfgblh
10,Hands,Mac Miller,3806058,https://open.spotify.com/track/6CrnvqCxBKVWahSiQwOesM
11,Marsh,Eminem,3802321,https://open.spotify.com/track/34d7sGX6WUqq8f04e7CSNF
12,Lucid Dreams,Juice WRLD,3783201,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
13,Heartless,The Weeknd,3584501,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
14,Robbery,Juice WRLD,3576885,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
15,Eleven,Khalid,3575393,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74
16,Suge,DaBaby,3545728,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
17,Stepdad,Eminem,3533447,https://open.spotify.com/track/3QVHSV8YKYq4L8tI5rnFgj
18,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",Eminem,3526191,https://open.spotify.com/track/5mZXWEH2eh8zMZGCxT5aW0
19,bad guy,Billie Eilish,3421822,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
20,Ransom,Lil Tecca,3322295,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
